,Number features,CV folds PPV criteria,Sens val,Spec val,PPV val,NPV val,AUC val
0,1,100.0,0.33 (0.27-0.40),0.90 (0.90-1.00),0.96 (0.93-1.00),0.24 (0.22-0.26),0.73 (0.69-0.77)
1,2,100.0,0.54 (0.49-0.60),1.00 (0.90-1.00),1.00 (0.96-1.00),0.31 (0.29-0.33),0.82 (0.78-0.86)
2,3,100.0,0.53 (0.47-0.58),0.90 (0.90-1.00),0.96 (0.95-1.00),0.30 (0.28-0.32),0.81 (0.77-0.85)
3,4,100.0,0.51 (0.44-0.58),0.90 (0.90-1.00),0.97 (0.95-1.00),0.29 (0.28-0.31),0.81 (0.77-0.85)
4,5,100.0,0.51 (0.47-0.58),0.90 (0.90-1.00),0.97 (0.95-1.00),0.29 (0.28-0.32),0.81 (0.77-0.86)
5,6,100.0,0.53 (0.47-0.59),0.90 (0.80-1.00),0.97 (0.94-1.00),0.30 (0.28-0.32),0.81 (0.77-0.85)
6,7,100.0,0.53 (0.47-0.59),0.90 (0.80-1.00),0.97 (0.94-1.00),0.30 (0.28-0.32),0.81 (0.77-0.85)
7,8,100.0,0.53 (0.47-0.59),0.90 (0.80-1.00),0.97 (0.94-1.00),0.30 (0.28-0.32),0.81 (0.77-0.85)
