,Number features,CV folds PPV criteria,Sens val,Spec val,PPV val,NPV val,AUC val
0,1,100.0,1.00 (0.97-1.00),0.60 (0.40-0.75),0.95 (0.93-0.97),1.00 (0.50-1.00),0.88 (0.78-0.94)
1,2,100.0,1.00 (1.00-1.00),0.50 (0.40-0.75),0.95 (0.93-0.98),1.00 (0.80-1.00),0.95 (0.90-0.99)
2,3,100.0,1.00 (1.00-1.00),0.50 (0.40-0.75),0.95 (0.93-0.98),1.00 (1.00-1.00),0.98 (0.95-1.00)
3,4,100.0,1.00 (0.98-1.00),0.50 (0.40-0.75),0.95 (0.93-0.98),1.00 (0.80-1.00),0.98 (0.94-1.00)
4,5,100.0,1.00 (0.98-1.00),0.50 (0.40-0.75),0.95 (0.93-0.98),1.00 (0.75-1.00),0.98 (0.93-1.00)
5,6,100.0,1.00 (0.98-1.00),0.50 (0.40-0.75),0.95 (0.93-0.98),1.00 (0.80-1.00),0.98 (0.92-1.00)
6,7,100.0,1.00 (0.98-1.00),0.50 (0.40-0.75),0.95 (0.93-0.98),1.00 (0.80-1.00),0.98 (0.92-1.00)
7,8,100.0,1.00 (1.00-1.00),0.50 (0.40-0.75),0.95 (0.93-0.98),1.00 (0.80-1.00),0.98 (0.92-1.00)
