,Number features,CV folds PPV criteria,Sens val,Spec val,PPV val,NPV val,AUC val
0,1,96.6,0.40 (0.20-0.50),1.00 (1.00-1.00),1.00 (0.75-1.00),0.94 (0.93-0.96),0.90 (0.85-0.96)
1,2,100.0,0.50 (0.40-0.60),1.00 (1.00-1.00),1.00 (0.80-1.00),0.96 (0.94-0.96),0.93 (0.88-0.98)
2,3,100.0,0.60 (0.40-0.75),1.00 (1.00-1.00),1.00 (1.00-1.00),0.96 (0.94-0.98),0.98 (0.94-1.00)
3,4,100.0,0.60 (0.50-0.80),1.00 (0.98-1.00),1.00 (0.75-1.00),0.96 (0.96-0.98),0.98 (0.94-1.00)
4,5,100.0,0.75 (0.50-0.80),1.00 (0.98-1.00),1.00 (0.75-1.00),0.98 (0.96-0.98),0.98 (0.93-1.00)
5,6,100.0,0.75 (0.50-0.80),1.00 (0.98-1.00),1.00 (0.75-1.00),0.98 (0.96-0.98),0.98 (0.92-1.00)
6,7,100.0,0.75 (0.60-0.80),1.00 (0.98-1.00),1.00 (0.75-1.00),0.98 (0.96-0.98),0.98 (0.92-1.00)
7,8,100.0,0.75 (0.60-0.80),1.00 (0.98-1.00),1.00 (0.75-1.00),0.98 (0.96-0.98),0.98 (0.92-1.00)
