,Number features,CV folds PPV criteria,Sens val,Spec val,PPV val,NPV val,AUC val
0,1,100.0,0.36 (0.31-0.37),0.90 (0.90-0.97),0.95 (0.94-0.99),0.24 (0.23-0.25),0.71 (0.66-0.79)
1,2,100.0,0.53 (0.48-0.56),1.00 (0.93-1.00),1.00 (0.97-1.00),0.31 (0.29-0.32),0.79 (0.73-0.90)
2,3,100.0,0.53 (0.44-0.58),1.00 (0.85-1.00),1.00 (0.95-1.00),0.29 (0.26-0.32),0.78 (0.74-0.89)
3,4,100.0,0.53 (0.45-0.58),1.00 (0.83-1.00),1.00 (0.94-1.00),0.29 (0.28-0.32),0.79 (0.74-0.89)
4,5,100.0,0.50 (0.44-0.59),1.00 (0.83-1.00),1.00 (0.94-1.00),0.28 (0.26-0.30),0.80 (0.76-0.90)
5,6,100.0,0.52 (0.45-0.59),1.00 (0.85-1.00),1.00 (0.95-1.00),0.29 (0.27-0.30),0.80 (0.75-0.90)
6,7,100.0,0.52 (0.45-0.58),1.00 (0.90-1.00),1.00 (0.96-1.00),0.28 (0.27-0.31),0.79 (0.73-0.89)
7,8,100.0,0.50 (0.45-0.57),1.00 (0.90-1.00),1.00 (0.96-1.00),0.28 (0.27-0.31),0.79 (0.72-0.89)
