nan,4.569003496835930545e-01,nan,nan,nan,nan,4.829025194894712159e-01,nan,nan,nan
nan,nan,nan,7.574347931729209504e-01,nan,7.667801631563357923e-01,nan,nan,nan,nan
nan,nan,nan,7.251828227876183641e-01,nan,nan,nan,8.522896785949554133e-01,nan,nan
8.614701767411320210e-01,nan,nan,nan,nan,nan,nan,nan,8.757866897996661182e-01,nan
nan,nan,nan,3.047384869483810710e-01,nan,nan,nan,nan,3.629493001033745059e-01,nan
nan,nan,nan,nan,9.210152825340888194e-01,nan,8.045674823998132386e-01,nan,nan,nan
nan,nan,9.997834132432470433e-01,nan,nan,7.747592336822411996e-01,nan,nan,nan,nan
nan,nan,nan,nan,6.456058764320293797e-01,nan,9.875060024986225260e-01,nan,nan,nan
8.845255979533492852e-01,nan,nan,nan,nan,9.897151833823590872e-01,nan,nan,nan,nan
nan,nan,nan,nan,6.430457708535267658e-01,5.908745063040053980e-01,nan,nan,nan,nan
nan,5.878160241881797976e-01,nan,nan,nan,nan,nan,5.362070707004092940e-01,nan,nan
nan,nan,nan,4.975496175029270884e-01,nan,5.016872574565226506e-01,nan,nan,nan,nan
nan,nan,nan,nan,9.780809798197069860e-01,nan,9.945802657370595989e-01,nan,nan,nan
nan,8.479774604659481296e-01,nan,nan,nan,7.548912087455031950e-01,nan,nan,nan,nan
nan,nan,nan,9.779176161517003640e-01,nan,nan,nan,nan,9.139348161543486837e-01,nan
nan,7.564396854448376395e-01,nan,nan,nan,nan,nan,nan,nan,8.882624889280109626e-01
nan,nan,nan,nan,9.438304158326998872e-01,nan,7.619792036599681850e-01,nan,nan,nan
nan,8.548036440429656047e-01,nan,nan,nan,nan,8.547934643200459925e-01,nan,nan,nan
nan,nan,7.292281965286515621e-01,nan,nan,nan,nan,nan,nan,9.176990913053262311e-01
nan,nan,nan,9.316562044403925436e-01,nan,nan,nan,nan,8.754389218071008116e-01,nan
nan,nan,nan,nan,6.650197448134299583e-01,nan,nan,nan,6.787424344059894699e-01,nan
nan,nan,nan,8.507701849755341383e-01,nan,nan,nan,nan,9.978970746929248792e-01,nan
nan,nan,nan,nan,8.410704414601318790e-01,nan,nan,9.656757875623099840e-01,nan,nan
nan,4.987154730295595972e-01,nan,nan,nan,8.261506009991326227e-01,nan,nan,nan,nan
nan,nan,9.927965703844411349e-01,nan,nan,nan,nan,9.923571231265950754e-01,nan,nan
nan,7.857093430341454132e-01,nan,nan,nan,nan,7.899465945742203399e-01,nan,nan,nan
nan,8.770481087394611519e-01,nan,nan,nan,nan,nan,nan,nan,8.586589298278520799e-01
